Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena1_Ind0;Y_Arena1_Ind0;X_Arena2_Ind0;Y_Arena2_Ind0;X_Arena3_Ind0;Y_Arena3_Ind0;X_Arena4_Ind0;Y_Arena4_Ind0;X_Arena5_Ind0;Y_Arena5_Ind0;X_Arena6_Ind0;Y_Arena6_Ind0;X_Arena7_Ind0;Y_Arena7_Ind0;X_Arena8_Ind0;Y_Arena8_Ind0
19141;640.51;537.8543689;245.2686084;903.0956344;324.3279311;1284.956128;344.0738731;538.9842018;632.1847835;840.6563574;561.9221649;1215.475933;507.0018033;620.1564076;936.2215267;862.8868286;877.8789551;1191.027237;857.9413748
19142;640.54;537.4174174;245.8453453;903.4322448;323.8050166;1284.870237;343.9792979;538.7279039;632.0531243;840.8284697;561.5816397;1215.407007;506.9702257;613.3259475;932.8248785;862.7017061;877.9253309;1191.313155;857.7615304
19143;640.58;536.2411674;246.1735791;903.1345566;323.5472397;1284.703106;343.9896953;539.053577;632.2636676;838.6339027;560.6494913;1215.505138;506.782984;613.0997646;932.6753197;862.5827659;878.9015553;1191.538243;857.8325581
19144;640.61;534.3028919;246.2039574;906.1511029;319.8336425;1285.04592;344.104336;538.7647837;632.2068161;839.0137677;559.9245685;1215.416023;506.567846;612.8585709;932.3441318;862.6828536;878.1935106;1191.057018;858.3314145
19145;640.64;531.4639017;247.0844854;903.6155284;322.8718994;1284.926676;344.002999;538.8003885;632.0199462;838.9402174;560.2526697;1215.446973;506.599079;609.9110016;933.6354521;862.8158755;878.0827122;1191.150729;858.286872
19146;640.68;528.4290429;246.4950495;903.664755;322.8312478;1285.619841;345.3338095;538.6707635;632.0053631;850.2453805;564.1913372;1215.395519;506.5488119;612.6538859;932.3139797;863.2767549;878.5616226;1188.758621;840.6289575
19147;640.71;525.715994;246.857997;903.4016053;328.8066918;1285.601313;344.415636;538.9019782;632.0255388;850.2693191;564.0210406;1215.410764;506.2259596;612.5683965;932.4268188;863.8477129;877.6371866;1190.626485;839.4163153
19148;640.74;522.8628472;247.4739583;903.2482849;328.8442816;1285.466188;344.4726212;538.4935523;631.8533513;849.7397319;564.5865604;1215.479083;506.5545723;654.744186;939.3990998;NA;NA;1190.80117;838.7835635
19149;640.78;521.3650794;247.9278499;910.5750758;331.3323485;1285.320035;344.3679078;541.5617183;634.9141517;848.9279808;563.2075365;1214.795749;506.0176257;578;961.5;NA;NA;1193.716871;835.7886262
19150;640.81;518.3710145;248.1927536;919.6517842;323.8915629;1284.406481;343.02379;538.7843137;628.627451;816;477;1215.132485;505.553984;599.5;888;NA;NA;1213.947368;829.4736842
19151;640.84;517.3519313;249.5565093;911.8455319;331.7147457;1284.57794;343.1569579;659.5595238;499.797619;NA;NA;1214.795868;505.1946399;577.5870647;960.6666667;NA;NA;1214.69697;830.3030303
19152;640.88;516.9534207;250.1688501;964;320;1284.469234;342.9974858;584.3160494;592.3407407;NA;NA;1214.874816;504.6081706;576.4827586;960.183908;NA;NA;1243.155216;813.826972
19153;640.91;611.3304332;265.852456;971.5442177;311.5442177;1284.523379;342.7654224;589.5;590.5;NA;NA;1215.101899;504.8253308;576.2358974;960.0666667;NA;NA;1243.155216;813.826972
19154;640.94;606.7439189;212.6486486;987.3010753;367.7849462;1284.730856;343.1017446;NA;NA;NA;NA;1215.157553;504.4466792;550;956.5;NA;NA;1329.5;817
19155;640.98;603.0906937;177.6270728;987.5263158;367.6052632;1284.649352;342.9785884;539.2156863;628.627451;NA;NA;1214.92341;504.3870702;548.3859649;950.8391813;NA;NA;1330.741667;818.6416667
19156;641.01;603.1798064;155.1235592;NA;NA;1300.477941;353.5404412;539.8080808;628.969697;982.1609195;528.9770115;1217.033542;507.970625;527.1484185;951.2789943;860.8373984;851.9105691;1265.544218;886.5442177
19157;641.05;607;137;NA;NA;1300.292108;353.5665489;539.6989247;629.0322581;979.5;526.5;1216.747331;508.2447608;527.1580849;951.4308943;860;858;1255.861968;888.3421439
19158;641.08;NA;NA;906.9548023;267.5367232;1300.309735;353.5746313;539.8080808;628.969697;982.6346516;528.9811676;1217.59574;508.700579;526.693437;951.074266;858.1059908;834.2593446;1253.050505;887.8383838
19159;641.11;NA;NA;NA;NA;1304.991588;352.1808623;539.9054726;628.3134328;NA;NA;1231.939332;505.2092706;529;951;811.9765494;876.0234506;1197.983683;781.95338
19160;641.15;NA;NA;NA;NA;1305.282302;352.0271444;539.7333333;628.6307692;NA;NA;1233.755411;505.1746032;597.5;926.5;796;852;1197.116667;782.425
19161;641.18;504;217;941.8943174;303.6666667;1305.280475;352.004315;539.1831502;629.7435897;955.6847753;430.7769953;1233.258841;505.2287434;597;926;796;851;1217.5;821
19162;641.21;506.0777778;251.3269841;892.5;227.5;1301.187081;353.3229738;540.0130719;628.1176471;952.5386158;430.0414577;1217.024691;507.2977778;592.3948812;930.0548446;861.2397661;841.9170654;1227.5;876
19163;641.25;506.1252033;246.9749593;892.5;227.5;1300.85248;353.4532329;540.1346154;628.2948718;951.0526894;429.4581046;1217.172118;506.5;592.4140862;930.1299332;859.0181901;838.1482492;1227.5;876
19164;641.28;508.9093316;242.206927;899.4380952;217.2666667;1300.895096;353.4165115;540.0994152;628;950.5804047;429.4444444;1217.221546;507.3059569;591.672526;930.8404948;858.7863946;836.0836735;1227.831111;872.1111111
19165;641.31;513.198446;237.1872572;897.4102564;217.4102564;1301.291667;353.5054348;540.283105;628.1780822;951.6755776;429.8683168;1217.163409;506.5585093;592.9426177;930.7794971;860.9023926;838.1092985;1237.30303;884.6969697
19166;641.35;517.7207999;234.4291173;899.4380952;217.2666667;1300.677517;353.5919228;540.1372549;628.0431373;953.464656;430.462771;1216.570981;507.2152326;593.6406003;931.0979463;857.3399234;829.8533333;1237;885.8095238
19167;641.38;521.5933879;232.9166099;899.4380952;217.2666667;1301.191463;353.4061519;548.7101449;626.9661836;954.5637823;430.9099019;1216.454454;506.8330831;593.7213115;930.9882904;857.7749549;826.2278217;1239.362319;886.1014493
19168;641.41;524.5662084;228.7163531;899.4380952;217.2666667;1300.817844;353.4200743;547.2511962;627.1244019;956.2884785;431.3784814;1216.71093;507.2925321;593.6030231;931.3046937;857.714302;825.060658;1241.658915;885.9379845
19169;641.45;527.5326772;224.2599738;909.3675214;203.1623932;1301.202295;353.3496377;547.1421911;627.4623155;995.4557823;519.5442177;1216.730627;507.1916359;593.6035172;931.3397282;858.4681777;824.185783;1301;954.85
